feature,mean_abs_shap
early_warning_score_avg_6h,0.23374365
Temp_max_6h,0.21921083
Resp_avg_6h,0.12795934
MAP_min_6h,0.12719554
pH_drift_from_normal_6h,0.12326122
HR_max_6h,0.09299194
EtCO2_std_6h,0.08211827
SBP_std_6h,0.07539313
Temp_abs_deviation_from_normal,0.06258775
Magnesium_drift_from_normal_6h,0.060828388
Platelets_drift_from_normal_6h,0.055605724
O2Sat_min_6h,0.053001642
Temp_min_6h,0.052590556
Resp_std_6h,0.05103393
SBP_max_6h,0.04807319
Glucose_drift_from_normal_6h,0.044047203
Temp_drift_from_normal_6h,0.043738768
Lactate_drift_from_normal_6h,0.04369156
WBC_drift_from_normal_6h,0.041078676
O2Sat_max_6h,0.039440133
BaseExcess_drift_from_normal_6h,0.038842317
O2Sat_abs_deviation_from_normal,0.038735513
Gender,0.03771565
HR_drift_from_normal_6h,0.035563447
Age,0.035408165
PTT_drift_from_normal_6h,0.03489072
MAP_max_6h,0.03322615
BUN_drift_from_normal_6h,0.03241815
Temp_hourly_change,0.031840798
Phosphate_drift_from_normal_6h,0.030171053
shock_index_max_6h,0.029686972
SBP_min_6h,0.029635642
Potassium_drift_from_normal_6h,0.029423725
shock_index_std_6h,0.028595984
Temp_above_normal,0.028545417
DBP_drift_from_normal_6h,0.028203176
DBP_min_6h,0.026819168
Temp_std_6h,0.026129294
MAP_drift_from_normal_6h,0.025270808
Creatinine_drift_from_normal_6h,0.024679372
HR_hourly_change,0.02275065
Glucose_drift_from_normal,0.022687284
DBP_max_6h,0.019204821
Resp_abs_deviation_from_normal,0.018666381
MAP_std_6h,0.018422937
Calcium_drift_from_normal_6h,0.01712484
Chloride_drift_from_normal_6h,0.01618737
PaCO2_drift_from_normal,0.01608691
EtCO2_max_6h,0.015360657
Bilirubin_total_drift_from_normal_6h,0.014657327
TroponinI_drift_from_normal_6h,0.01324199
Alkalinephos_drift_from_normal_6h,0.012158049
EtCO2_abs_deviation_from_normal,0.012087087
HR_abs_deviation_from_normal,0.0116798375
Temp_drift_from_normal,0.011197095
HR_std_6h,0.009580505
DBP_std_6h,0.008961889
DBP_deviation_from_normal,0.008271151
SBP_drift_from_normal_6h,0.0076573663
Resp_drift_from_normal_6h,0.0068947542
O2Sat_drift_from_normal_6h,0.0055692433
AST_drift_from_normal_6h,0.005265964
MAP,0.00507477
Resp_hourly_change,0.0047228867
SBP_abs_deviation_from_normal,0.004636998
EtCO2_hourly_change,0.004024939
MAP_below_normal,0.0034776826
SaO2_drift_from_normal_6h,0.0033175373
MAP_abs_deviation_from_normal,0.0027333344
MAP_hourly_change,0.002502263
SBP_hourly_change,0.0024694272
HR_below_normal,0.0023191897
Fibrinogen_drift_from_normal_6h,0.0022032554
early_warning_score_std_6h,0.002171673
DBP_abs_deviation_from_normal,0.0018359806
Bilirubin_direct_drift_from_normal_6h,0.0014786627
DBP_hourly_change,0.0012751672
O2Sat,0.0012668545
EtCO2_drift_from_normal,0.0012390928
PTT_drift_from_normal,0.0009389357
Temp_below_normal,0.00085965806
MAP_drift_from_normal,0.0007242113
Phosphate_drift_from_normal,0.0006349151
SaO2_drift_from_normal,0.0005461008
HR_drift_from_normal,0.0005244747
Platelets_drift_from_normal,0.0004094257
Resp_drift_from_normal,0.0003808446
EtCO2_drift_from_normal_6h,0.0003754
O2Sat_hourly_change,0.0003217823
Calcium_drift_from_normal,0.00029897416
Potassium_drift_from_normal,0.00029061688
Resp_below_normal,0.00028544877
Lactate_drift_from_normal,0.00024562818
BaseExcess_drift_from_normal,0.00018647347
DBP_drift_from_normal,0.00016985703
Resp_above_normal,0.00015697961
SBP_drift_from_normal,4.994311e-05
SBP_below_normal,4.177876e-05
SBP_above_normal,4.0467177e-05
O2Sat_drift_from_normal,3.760647e-05
EtCO2_below_normal,2.7865222e-05
O2Sat_below_normal,2.406913e-05
WBC_drift_from_normal,1.8244249e-05
BUN_drift_from_normal,1.6322008e-05
Creatinine_drift_from_normal,1.0874968e-05
O2Sat_above_normal,0.0
HR_above_normal,0.0
TroponinI_drift_from_normal,0.0
MAP_above_normal,0.0
DBP_above_normal,0.0
DBP_below_normal,0.0
EtCO2_above_normal,0.0
AST_drift_from_normal,0.0
Alkalinephos_drift_from_normal,0.0
Bilirubin_direct_drift_from_normal,0.0
Magnesium_drift_from_normal,0.0
Fibrinogen_drift_from_normal,0.0
Bilirubin_total_drift_from_normal,0.0
Chloride_drift_from_normal,0.0
